entity_type,id,entity_key,status
sector,e030bbe3-50ca-578c-9ddf-acf3958c938f,sector:ths_industry_battery,inactive
sector,90974a5e-64ca-50e9-9e25-4e46f06e4cca,sector:ths_industry_chemical_pharma,inactive
sector,835a8a56-17f6-504c-8d55-f2882e08939f,sector:ths_industry_coal,inactive
sector,776444aa-960f-5f2b-b955-e153c348657b,sector:ths_industry_communication_equipment,inactive
sector,29295b58-af44-549b-bd5e-cb95839f8e67,sector:ths_industry_consumer_electronics,inactive
sector,5196459c-4606-5272-8647-37af10fe1fe8,sector:ths_industry_industrial_metal,inactive
sector,f890fa0f-fe07-5110-b766-dc30b9484fa7,sector:ths_industry_insurance,inactive
sector,2fa6128a-4386-5108-ac5c-c71b3fdc30e1,sector:ths_industry_media,inactive
sector,947fe3cc-bf5f-5844-b80b-e3a60f031dad,sector:ths_industry_medical_service,inactive
sector,b7fd0806-75be-5f1b-8861-5d9a73541e1d,sector:ths_industry_oil_processing,inactive
sector,d55f1d8f-d78c-50a2-9f68-dc3cb69fc4cc,sector:ths_industry_power_equipment,inactive
sector,74581057-72a0-50d2-a8bf-1f4ff239a28c,sector:ths_industry_pv_equipment,inactive
sector,4ce63c37-0bbc-5c09-bd2e-9c334fdb53d6,sector:ths_industry_real_estate,inactive
sector,a3dca252-c8c2-5f4a-bece-ecd5e826ccf1,sector:ths_industry_securities,inactive
sector,b44ded58-74ac-5c84-a706-5312de8d075a,sector:ths_industry_semiconductor_components,inactive
sector,a8cba87e-aa26-5a4e-a6e0-0450cda937ca,sector:ths_industry_software,inactive
sector,7dcca030-e692-5378-82d7-f4ab8068787d,sector:ths_industry_tcm,inactive
